,Unnamed: 0,Key,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,Production,Distributed_by,imdb,Time
0RZG6XRLLQ2SMTSFU8FG9YB6UV,,,Raazi,"Alia Bhatt, Vicky Kaushal","Suspense, International, Drama",Meghna Gulzar, 13+ Teens,,,,,,
0N0EXSVCF16I1DIFSE16VHEXM0,,,Sonu Ke Titu Ki Sweety,"Kartik Aaryan, Nushrat Bharucha, Sunny Singh Nijjar","Comedy, International",Luv Ranjan, 13+ Teens,,,,,,
0FSE8GW3LLYSQZK9HZ30BY9S2X,,,Tiger Zinda Hai,"Salman Khan, Katrina Kaif, Paresh Rawal","International, Action",Ali Abbas Zafar, 13+ Teens,,,,,,
0QKAN8HE6DMBNHV2OAJMYX5KF0,,,Missing,"Tabu, Manoj Bajpayee, Annu Kapoor","Suspense, International",Mukul Abhyankar, 13+ Teens,,,Manoj Bajpayee Productions,,,
0MRW4VXSA05J3TO7GEIONBBZU7,,,Blackmail,"Irrfan Khan, Kirti Kulhari, Arunoday Singh","Comedy, International",Abhinay Deo, 13+ Teens,,,,,,
0HBTQDO1NV5FWBACDI0AOJ84LS,,,Dhadak,"Janhvi Kapoor, Ishaan Khattar, Ashutosh Rana","Drama, International",Shashank Khaitan, 13+ Teens,,,,,,
0N0EJ6UTFOQHTEO2R4PMOCURS0,,,Newton,"Rajkummar Rao, Pankaj Tripathi, Anjali Patil","International, Comedy, Drama",Amit V Masurkar, 13+ Teens,,,,,7.8,104.0
0SKRJNJOWMM7PJ7L7BBIL3Y002,,,Race 3,"Anil Kapoor, Salman Khan, Jacqueline Fernandez","Action, International",Remo Dsouza, 13+ Teens,,,,,,
0GURWDF27MFCPPVHUIQBH2ZSTU,,,Nawabzaade,"Raghav Juyal, Dharmesh Yelande, Punit Pathak","International, Comedy",Jayesh Pradhan, 13+ Teens,,,,,,
0LCQGVFVLNI8MOOGAT6T4611H2,,,Padmaavat,"Deepika Padukone, Ranveer Singh, Shahid Kapoor","Romance, Historical, Drama, International",Sanjay Leela Bhansali, 13+ Teens,,,"Viacom18 Motion Pictures, Bhansali Productions",,,
0GM8PPHL5UQS2QE86ENZ8FV8M8,,,Jumanji,"Dwayne Johnson, Jack Black, Kevin Hart","Adventure, Comedy",Jake Kasdan, 13+ Teens,,,Hi'ilawe,,7.0,119.0
