,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,Production,Distributed_by
0N8WYH0W6L7Q0ODHGQCHMMRH4R,Harry Potter and the Sorcerer's Stone,"Daniel Radcliffe, Rupert Grint, Emma Watson","Young Adult Audience, Kids",Chris Columbus, 7+ Older Kids,"Based on the wildly popular J.K. Rowling's book about a young boy who on his eleventh birthday discovers, he is the orphaned boy of two powerful wizards and has unique magical powers.",,Warner Bros.,
0KACZUWEYSD8A6AJXCCNF9G2M0,Matilda,"Mara Wilson, Danny DeVito, Rhea Perlman",Kids,"Danny DeVito, Danny DeVito", 7+ Older Kids,"Danny De Vito, Rhea Perlman and Mara Wilson star in this modern fairytale that mixes hilarious humor with a magical message of love.",,Matilda Productions (TriStar),
0TEKHVKT7A569PK1IAL53VJEAC,Harry Potter and the Chamber of Secrets,"Daniel Radcliffe, Rupert Grint, Emma Watson","Kids, Young Adult Audience",Chris Columbus, 7+ Older Kids,"Harry returns to Hogwarts, still famous and a hero, when strange thingsstart to happen... people are turning to stone and no-one knows what, orwho, is doing it.",,Warner Bros.,
0HKBCOWZ6L75JX0GXBANJSQLIM,Harry Potter and the Prisoner of Azkaban,"Daniel Radcliffe, Rupert Grint, Emma Watson","Young Adult Audience, Kids",Alfonso Cuarón, 7+ Older Kids,"In Harry Potter and the Prisoner of Azkaban, Harry, Ron and Hermione return for their third year at Hogwarts, where they are forced to face escaped prisoner, Sirius Black.",,Warner Bros.,
0TAB96RZGE6FO7TI98VEDGZAI9,Hotel Transylvania,"Adam Sandler, Andy Samberg, Selena Gomez",Kids,Genndy Tartakovsky, 7+ Older Kids,"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed.",,Sony Pictures Animation Inc.,
0J3PZSC6BD4HBJL4CM5AGNDMWA,Hotel Transylvania 2,"Adam Sandler, Andy Samberg, Selena Gomez",Kids,Genndy Tartakovsky, 7+ Older Kids,"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",,Sony Pictures Animation Inc.,
0J807U4B4RQUSLN80ZGJTFGVMK,Charlie and the Chocolate Factory,"Johnny Depp, Freddie Highmore, David Kelly",Kids,Tim Burton, 7+ Older Kids,"Take an unforgettable, uniquely magical journey through director Tim Burton's deliciously delightful, whimsically wonderful world of Charlie And The Chocolate Factory.",,Warner Bros.,
0U44QXXTUK9QUUBAIOMREDPNI5,Richie Rich (1994),,"Kids, Comedy",Donald Petrie, 7+ Older Kids,Macaulay Culkin and John Larroquette star in this live action adaptation of the comic book adventures of an extremely rich boy and his efforts to do good in the world.,,Warner Bros.,
0ST9VPY2NV9FEFUQWTJPGV556P,Journey 2,"Dwayne ""The Rock"" Johnson, Dwayne Johnson, Michael Caine",Kids,Brad Peyton, 7+ Older Kids,"Seventeen-year-old Sean Anderson (Josh Hutcherson) and his new stepfather, Hank (Dwayne Johnson) set off on an adventure to find a mysterious island where no island should exist.",,New Line,
0J807Q4DK66EMAHIX7ZU5WGCKZ,The Polar Express,"Tom Hanks, Nona Gaye, Peter Scolari",Kids,Robert Zemeckis, All Ages Kids,A doubting young boy takes an extraordinary train ride to the North Pole that shows him that the wonder of life never fades for those who believe.,,Warner Bros.,
0U44P06PYPWD2PFP7DEEIC41G0,Cinderella,"Lesley Ann Warren, Ginger Rogers, Stuart Damon","Kids, Arts, Entertainment, and Culture",Charles S. Dubin, All Ages Kids,"A sparkling fantasy of music, magic and romance, Rodgers & Hammerstein's Cinderella captivates from overture to finale with a delightful score and stunning flittering performances from an all-star cast. Cinderella will waltz into the hearts of the entire family and live happily ever after as one of the most irresistible musicals ever made.",,Samuel Goldwyn Films,
0PHVZQ6SXT3ITN7Q9IWFDE7P6Q,Just Add Magic - Season 1,"Olivia Sanabia, Abby Donnelly, Andrew Burlinson, Amy Hill",Kids,Joe Nussbaum, All Ages Kids,"(For children ages 6-11) - Kelly Quinn and her two BFF's, Darbie and Hannah, stumble upon her grandmother's mysterious cookbook in the attic and discover some far from ordinary recipes. When the Shut'em Up Shortcake silences Kelly's pesky little brother and the Healing Hazelnut Tart heals Darbie's ankle, the girls discover they have the power of magic",,Amazon Studios,
0JXKHG352RHUZ3C326V8FP0BM3,Cloudy with a Chance of Meatballs,"Bill Hader, Anna Faris, James Caan",Kids,"Phil Lord, Chris Miller", 7+ Older Kids,Focuses on a town where food falls from the sky like rain.,,Sony Pictures Animation Inc.,
0OJTL20VEZS95GSHPVEIN998CU,The Emoji Movie,"T.J. Miller, James Corden, Anna Faris",Kids,Tony Leondis, 7+ Older Kids,"Discover the secret world inside your phone where all the emojis live. Three emoji friends go on an epic ""app-venture"" to save Textopolis!",,Sony Pictures Animation,
0I1DHXXQXDO9KDTGIV2BA6V914,The Angry Birds Movie,"Jason Sudeikis, Josh Gad, Danny McBride",Kids,"Clay Kaytis, Fergal Reilly", 7+ Older Kids,"In this clever animated comedy, meet Red, Chuck and Bomb, a team of unlikely heroes, and finally learn why the birds are so angry!",,Columbia Pictures,
0Q37VK9QV9YFPAH93ZJEHUO4ZP,The Smurfs 2,"Neil Patrick Harris, Brendan Gleeson, Jayma Mays",Kids,Raja Gosnell, 7+ Older Kids,"The Smurfs are back with this follow-up to the blockbuster smash hit from 2011. J. David Stem and David Weiss provide the script, from a story they wrote with Jay Scherick and David Ronn.",,"Kerner Entertainment Company, Sony Pictures Animation Inc.",
0LTS4JPE75TKLGJGQT68EQ22OB,Smurfs,"Demi Lovato, Rainn Wilson, Joe Manganiello",Kids,Kelly Asbury, 7+ Older Kids,"In this fully animated Smurfs, they must race through the Forbidden Forest filled with magical creatures to find a mysterious lost village.",,Sony Pictures Animation Inc.,
0TN2P2ICTJDYPKOMWIA1PYY0KE,Snow Queen 1,"NA, NA, NA","Kids, International","Maksim Sveshnikov, Vlad Barbe", All Ages Kids,"The evil Snow Queen turned the world into eternal winter and killed Vegard the last standing wizard who could defeat her. Years later, the Snow Queen locates Vegard's successor, Kai and Gerda, and abducts Kai. Gerda then takes it upon herself to rescue Kai. Will they be able to reach the palace and defeat an extremely powerful Snow Queen, with love being the only weapon in Gerda's arsenal.",,Wizart Animation,
0HG24QYNBIBWYC671CTVBMWVFI,Stuart Little 3,"Michael J. Fox, Geena Davis, Hugh Laurie",Kids,Audu Paden, All Ages Kids,"Stuart Little's back in an all-new, all-animated movie! Featuring the voice talents of Michael J. Fox, Geena Davis, Hugh Laurie and Wayne Brady as Stuart's newest pal Reeko, it's the next big thing in Little adventure!",,"Mainframe Entertainment, Inc.",
0FO3B5INTJYWZ5HJ09L603XWFA,Thor - Tales of Asgard,"Matthew Wolf, Rick Gomez, Tara Strong","Kids, International",Sam Liu, All Ages Kids,"Thor, the young prince of Asgard desires to bring pride to his father, Odin. He embarks on a journey, along with his brother Loki and a group of adventurous warriors, better known as the Warrior Three, to unearth the lost sword of Surtur. Little do they know that their actions will start a war in Asgard, and the source of conflict lies in the House of Odin.",,Marvel Studios,
0ND5QEPKY180K8ATC3Q0550FZV,Planet Hulk,"Rick D. Wasserman, Lisa Ann Beley, Mark Hilderth","Kids, International",Sam Liu, All Ages Kids,"An uncontrollable Hulk gets exiled by the Avengers to a distant planet. His journey, interrupted by a wormhole , ends up with a crash on the savage planet of Sakaar. Hulk is captured and soon unites with other prisoners like him and defeats the tyrant Red King. The peace does not last long, as the planet is in for one more disaster.",,Marvel Animation,
