,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity
80115328,Sacred Games,"Saif Ali Khan, Nawazuddin Siddiqui, Radhika Apte","Series, TV Programmes based on Books, Hindi-Language TV Programmes, Indian Programmes, Crime Programmes, Drama Programmes, Mystery Programmes","Vikramaditya Motwane, Anurag Kashyap",18+ ,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",Bollywood icons Saif Ali Khan and Nawazuddin Siddiqui star in this dark thriller series based on Vikram Chandra's novel.
80245450,GHOUL,"Radhika Apte, Manav Kaul, Ratnabali Bhattacharjee","Series, Hindi-Language TV Programmes, Indian Programmes, Drama Programmes, Horror Programmes",Patrick Graham,16+ ,"When a new prisoner at a military detention center exhibits eerie behavior, a young interrogator’s search for the truth becomes a battle for survival.","Radhika Apte (""Sacred Games,"" ""Lust Stories"") and Manav Kaul (""Tumhari Sulu"") lead the cast of this horror-thriller series."
80991033,Lust Stories,"Vicky Kaushal, Bhumi Pednekar, Radhika Apte","Critically-acclaimed Films, Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Comedies, Romantic Comedies, Dramas, Romantic Dramas, Romantic Films, Romantic Favourites","Zoya Akhtar, Karan Johar, Dibakar Banerjee, Anurag Kashyap",16+ ,"In the companion to 2013's ""Bombay Talkies,"" four short films by four of India's biggest directors explore love, sex and relationships in modern India.","These four shorts were directed by Indian filmmaking icons Karan Johar, Zoya Akhtar, Dibakar Banerjee and Anurag Kashyap."
81011159,Little Things,"Dhruv Sehgal, Mithila Palkar","Series, Hindi-Language TV Programmes, Indian Programmes, Romance Programmes, Drama Programmes, Comedy Programmes",,16+ ,"A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai.",
80992995,Brij Mohan Amar Rahe,"Arjun Mathur, Nidhi Singh, Manav Vij","Indian Films, Hindi-Language Films, Crime Films, Crime Dramas, Crime Comedies, Comedies, Dark Comedies, Dramas",Nikhil Nagesh Bhat,16+ ,Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan -- until he was sentenced to death for his own murder.,"Arjun Mathur, who plays Brij, can also be seen in the series ""Indian Summers"" as violent nationalist Naresh Banerjee."
80025172,Narcos,"Wagner Moura, Pedro Pascal, Boyd Holbrook","Series, American Programmes, Crime Programmes, Action & Adventure Programmes, Drama Programmes",,16+ ,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.,Won Best TV Drama Series and Best TV Ensemble Cast at Mexico's 2017 Fénix Awards.
80227304,Love Per Square Foot,"Vicky Kaushal, Angira Dhar, Alankrita Sahai","Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Comedies, Romantic Comedies, Romantic Films",Anand Tiwari,13+ ,"Individually, bank employees Sanjay and Karina don't earn enough to be able to buy a home, so they decide to enter into a marriage of convenience.",
80190279,The Indian Detective,"Russell Peters, Anupam Kher, Christina Cole","Series, Canadian TV Programmes, Crime Programmes, Drama Programmes, Mystery Programmes, Comedy Programmes",,13+ ,"In this crime dramedy, a suspended Canadian cop visits his father in Mumbai and assists in investigating a huge criminal operation with links to home.",
80128722,Gerald's Game,"Carla Gugino, Bruce Greenwood, Henry Thomas","Hollywood Films, Critically-acclaimed Films, Thrillers, Psychological Thrillers, Horror Films",Mike Flanagan,16+ ,"When her husband's sex game goes wrong, Jessie -- handcuffed to a bed in a remote lake house -- faces warped visions, dark secrets and a dire choice.","Based on a novel by Stephen King, this claustrophobic thriller stars Carla Gugino and Bruce Greenwood."
80104198,Lost in Space,"Molly Parker, Toby Stephens, Maxwell Jenkins","Series, American Programmes, Action & Adventure Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes",,7+ ,"After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers.","This reboot of the iconic show stars Molly Parker (""House of Cards""), Toby Stephens (""Black Sails"") and Parker Posey."
80117470,13 Reasons Why,"Dylan Minnette, Katherine Langford, Kate Walsh","Series, TV Programmes based on Books, American Programmes, Teen Programmes, Crime Programmes, Drama Programmes, Mystery Programmes",,16+ ,Why did Hannah Baker take her own life? Her classmates all have secrets ... and the truth is about to come out.,Katherine Langford received a Golden Globe nod for her role in this series based on Jay Asher's best-selling novel.
80244780,Black Moon,,"Series, Italian TV Programmes, Drama Programmes",,,"In 17th century Italy, a teenage midwife accused of witchcraft must choose between a star-crossed love and fulfilling her powerful destiny.",
80217517,Cidades Invisíveis,,"Series, Brazilian TV Programmes, Drama Programmes",,,"While investigating a murder, a detective is drawn into a battle between the visible world and an underground realm inhabited by mythical creatures.",
80231903,In the Shadow of the Moon,,"International Films, Thrillers, Sci-Fi Thrillers, Sci-Fi & Fantasy",,,A Chicago detective leads the hunt for an elusive serial killer whose crimes are timed to the lunar cycle in this sleek sci-fi thriller.,
80191239,Tidelands,"Charlotte Best, Elsa Pataky, Marco Pigossi","Series, Australian TV Programmes, Crime Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes",,16+ ,"Ex-con Cal McTeer's return to her hometown of Orphelin Bay blows the lid off a generations-long conspiracy of silence around murder, drugs and Sirens.","From the creators of Australia's acclaimed murder-mystery miniseries ""Secrets & Lies"" (2014)."
80189648,Hyperdrive,,"Series, Reality, Variety & Talk Shows, American Programmes",,,Daring drivers from around the globe compete for glory as they race through one of the largest automotive obstacle courses ever constructed.,
80236236,Another Life,,"Series, British Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes",,,Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.,
80210995,Back with the Ex,,"Series, Australian TV Programmes, Reality, Variety & Talk Shows, Romance Programmes",,13+ ,"In a series of emotional reunions, four singles reconnect with their exes and attempt to reignite their romantic pasts.",
80197889,What/If,,"Series, American Programmes, Drama Programmes",,,"In this neo-noir thriller series, a pair of cash-strapped newlyweds accept a lucrative but morally dubious offer from a mysterious female benefactor.",
80190931,Ghost Wars,"Avan Jogia, Kim Coates, Vincent D'Onofrio","Series, Canadian TV Programmes, Horror Programmes",,16+ ,Local outcast Roman Mercer must harness his repressed psychic powers to save his remote Alaskan town from paranormal forces.,
81030893,May the Devil Take You,"Chelsea Islan, Pevita Pearce, Samo Rafael","International Films, Horror Films, Supernatural Horror Films",Timo Tjahjanto,16+ ,"Hoping to find answers to her estranged father's mysterious illness, a young woman visits his old villa and uncovers a horrifying truth from the past.","This Indonesian box-office hit by Timo Tjahjanto (""The Night Comes for Us"") stars Chelsea Islan and Pevita Pearce."
80145240,Wild Wild Country,,"Series, Award-winning TV Programmes, Documentary Programmes, American Programmes, Crime Programmes, Crime Documentaries, Documentaries, Critically-acclaimed Documentaries, True Crime Documentaries",,16+ ,"When a controversial cult leader builds a utopian city in the Oregon desert, conflict with the locals escalates into a national scandal.",This captivating tale of a utopia gone awry won an Emmy Award for Outstanding Documentary Series.
80195378,Haunted,,"Series, Reality, Variety & Talk Shows, American Programmes, Horror Programmes",,16+ ,"Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments.",
80183051,7Seeds,,"Anime, Anime Dramas, Anime Sci-Fi, Anime Series, Series, Japanese Programmes",,,"When a giant meteorite strikes Earth, the 7 Seeds program activates. Five groups of seven people are now the last survivors of humanity.",
80172145,Diablero,"Christopher Von Uckermann, Horacio García Rojas, Gisselle Kuri","Series, Mexican TV Programmes, TV Programmes based on Books, Horror Programmes",,13+ ,A young priest enlists the help of a demon hunter and a paranormal expert to search for a kidnapped girl in the underworld of Mexico City.,
80993095,Chopsticks,,"Hindi-Language Films, Dramas",,,A gifted but insecure woman is in for a transformative experience when she enlists an enigmatic con to help recover her stolen car from a Mumbai thug.,
80189898,Osmosis,,"Series, French TV Programmes, Drama Programmes",,,"In Paris of the near future, a dating app matches singles with their soul mates by mining their brain data. But decoding true love comes at a price.",
80218200,Titans,,"Series, TV Programmes based on Comics, American Programmes, Crime Programmes, Action & Adventure Programmes, Sci-Fi & Fantasy Programmes",,,"Led by Batman's former protégé Robin, a group of teen heroes forms to fight crime while wrestling with their inner demons.",
80219707,Dead to Me,,"Series, American Programmes, Comedy Programmes",,,A powerful friendship blossoms between a tightly wound widow and a free spirit with a shocking secret in this darkly comic series.,
80210361,Chambers,,"Series, American Programmes",,,"Consumed by the mystery surrounding the donor heart that saved her life, a young patient starts taking on sinister characteristics of the deceased.",
80198137,Tuca & Bertie,,"Series, American Programmes, Action & Adventure Programmes, Comedy Programmes",,,Two bird women -- a carefree toucan and an anxious songbird -- live in the same apartment building and share their lives in this animated comedy.,
80209746,Revenge,"Matilda Lutz, Kevin Janssens, Vincent Colombe","Critically-acclaimed Films, International Films, French Films, Crime Films, Action & Adventure, Action Thrillers, Crime Action & Adventure",Coralie Fargeat,16+ ,A woman left for dead in the desert after a harrowing assault embarks on a brutal and bloody quest for revenge against the three men who betrayed her.,
80164456,The Babysitter,"Samara Weaving, Hana Mae Lee, Judah Lewis","Hollywood Films, Comedies, Dark Comedies, Horror Films, Horror Comedy",McG,16+ ,"When Cole stays up past his bedtime, he discovers that his hot babysitter is part of a satanic cult that will stop at nothing to keep him quiet.","Samara Weaving (""Ash vs Evil Dead"") and Bella Thorne (""You Get Me"") star in this horror-comedy from director McG."
80231373,Ultraman,,"Anime, Anime Action, Anime Series, Series, Japanese Programmes",,,"Years after Ultraman disappeared, Shinjiro learns of his connection to the legendary hero and dons the metallic ultra-suit to fight new aliens.",
81019391,Triad Princess,,"Series, Chinese  Programmes, Taiwanese TV Programmes, Romance Programmes, Asian Programmes, Comedy Programmes",,,"After growing up in the shadow of her mafia-affiliated father, Angie defies his wishes and takes a gig as an undercover bodyguard for a famous actress.",
80232329,Springsteen on Broadway,Bruce Springsteen,"Music & Musicals, Rock & Pop",Thom Zimny,13+ ,Bruce Springsteen shares personal stories from his life and acoustic versions of some of his best-known songs in an intimate one-man show.,
80197526,Sex Education,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa","Series, American Programmes, Teen Programmes, Drama Programmes, Comedy Programmes",,16+ ,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,
