Unnamed: 0,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,tconst,averageRating,imdb_rank,page_rank,page_rank_int
80115328,Sacred Games,"Saif Ali Khan, Nawazuddin Siddiqui, Radhika Apte","Series, TV Programmes based on Books, Hindi-Language TV Programmes, Indian Programmes, Crime Programmes, Drama Programmes, Mystery Programmes","Vikramaditya Motwane, Anurag Kashyap",18+ ,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",Bollywood icons Saif Ali Khan and Nawazuddin Siddiqui star in this dark thriller series based on Vikram Chandra's novel.,tt6077448,9.0,14.0,0.027656370757075107,5.0
80991033,Lust Stories,"Vicky Kaushal, Bhumi Pednekar, Radhika Apte","Critically-acclaimed Films, Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Comedies, Romantic Comedies, Dramas, Romantic Dramas, Romantic Films, Romantic Favourites","Zoya Akhtar, Karan Johar, Dibakar Banerjee, Anurag Kashyap",16+ ,"In the companion to 2013's ""Bombay Talkies,"" four short films by four of India's biggest directors explore love, sex and relationships in modern India.","These four shorts were directed by Indian filmmaking icons Karan Johar, Zoya Akhtar, Dibakar Banerjee and Anurag Kashyap.",tt8439854,6.6,478.0,0.027593851609239013,6.0
81011159,Little Things,"Dhruv Sehgal, Mithila Palkar","Series, Hindi-Language TV Programmes, Indian Programmes, Romance Programmes, Drama Programmes, Comedy Programmes",,16+ ,"A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai.",,tt6522580,8.3,78.0,0.0028440450036266588,75.0
80992995,Brij Mohan Amar Rahe,"Arjun Mathur, Nidhi Singh, Manav Vij","Indian Films, Hindi-Language Films, Crime Films, Crime Dramas, Crime Comedies, Comedies, Dark Comedies, Dramas",Nikhil Nagesh Bhat,16+ ,Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan -- until he was sentenced to death for his own murder.,"Arjun Mathur, who plays Brij, can also be seen in the series ""Indian Summers"" as violent nationalist Naresh Banerjee.",tt6514010,7.1,357.5,0.004534157737142329,18.0
80025172,Narcos,"Wagner Moura, Pedro Pascal, Boyd Holbrook","Series, American Programmes, Crime Programmes, Action & Adventure Programmes, Drama Programmes",,16+ ,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.,Won Best TV Drama Series and Best TV Ensemble Cast at Mexico's 2017 Fénix Awards.,tt2707408,8.8,24.5,0.029504512190763936,2.0
80227304,Love Per Square Foot,"Vicky Kaushal, Angira Dhar, Alankrita Sahai","Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Comedies, Romantic Comedies, Romantic Films",Anand Tiwari,13+ ,"Individually, bank employees Sanjay and Karina don't earn enough to be able to buy a home, so they decide to enter into a marriage of convenience.",,tt7853242,7.3,298.5,0.0275717158732678,7.0
80190279,The Indian Detective,"Russell Peters, Anupam Kher, Christina Cole","Series, Canadian TV Programmes, Crime Programmes, Drama Programmes, Mystery Programmes, Comedy Programmes",,13+ ,"In this crime dramedy, a suspended Canadian cop visits his father in Mumbai and assists in investigating a huge criminal operation with links to home.",,tt5797220,6.6,478.0,0.0031644187318834965,53.0
80128722,Gerald's Game,"Carla Gugino, Bruce Greenwood, Henry Thomas","Hollywood Films, Critically-acclaimed Films, Thrillers, Psychological Thrillers, Horror Films",Mike Flanagan,16+ ,"When her husband's sex game goes wrong, Jessie -- handcuffed to a bed in a remote lake house -- faces warped visions, dark secrets and a dire choice.","Based on a novel by Stephen King, this claustrophobic thriller stars Carla Gugino and Bruce Greenwood.",tt7452790,7.3,298.5,8.79111797276434e-05,479.0
80104198,Lost in Space,"Molly Parker, Toby Stephens, Maxwell Jenkins","Series, American Programmes, Action & Adventure Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes",,7+ ,"After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers.","This reboot of the iconic show stars Molly Parker (""House of Cards""), Toby Stephens (""Black Sails"") and Parker Posey.",tt5232792,7.2,327.0,0.0018078441126568854,145.0
80117470,13 Reasons Why,"Dylan Minnette, Katherine Langford, Kate Walsh","Series, TV Programmes based on Books, American Programmes, Teen Programmes, Crime Programmes, Drama Programmes, Mystery Programmes",,16+ ,Why did Hannah Baker take her own life? Her classmates all have secrets ... and the truth is about to come out.,Katherine Langford received a Golden Globe nod for her role in this series based on Jay Asher's best-selling novel.,tt1837492,8.1,120.0,0.029548620761339357,1.0
