Name	Actor	Genre	Directors	Maturity	Story-line	Popularity	Distributed_by	Production_Company,Name,Production_Company,Distributed_by,Popularity,Story-line,Actor,Maturity,Genre,Directors
80200267,The Ballad of Buster Scruggs,Annapurna Pictures,Netflix,"Written and directed by Joel and Ethan Coen, this anthology film won Best Screenplay at the Venice Film Festival.","Ranging from absurd to profound, these Western vignettes from the Coen brothers follow the adventures of outlaws and settlers on the American frontier.","Liam Neeson, James Franco, Tim Blake Nelson",16+ ,"Hollywood Films, Westerns, Critically-acclaimed Films, Award-winning Films, Comedies, Dark Comedies, Dramas","Joel Coen, Ethan Coen"
80115328,Sacred Games,,,Bollywood icons Saif Ali Khan and Nawazuddin Siddiqui star in this dark thriller series based on Vikram Chandra's novel.,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.","Saif Ali Khan, Nawazuddin Siddiqui, Radhika Apte",18+ ,"Series, TV Programmes based on Books, Hindi-Language TV Programmes, Indian Programmes, Crime Programmes, Drama Programmes, Mystery Programmes","Vikramaditya Motwane, Anurag Kashyap"
81011159,Little Things,,,,"A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai.","Dhruv Sehgal, Mithila Palkar",16+ ,"Series, Hindi-Language TV Programmes, Indian Programmes, Romance Programmes, Drama Programmes, Comedy Programmes",
80997085,Narcos: Mexico,Netflix,,"Diego Luna (""Rogue One"") and Michael Peña (""American Hustle"") face off in a new ""Narcos"" saga set in Mexico.","Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent.","Michael Peña, Diego Luna, Tenoch Huerta",18+ ,"Series, American Programmes, Crime Programmes, Action & Adventure Programmes, Drama Programmes",
80991033,Lust Stories,RSVPFlying Unicorn Entertainment,Netflix,"These four shorts were directed by Indian filmmaking icons Karan Johar, Zoya Akhtar, Dibakar Banerjee and Anurag Kashyap.","In the companion to 2013's ""Bombay Talkies,"" four short films by four of India's biggest directors explore love, sex and relationships in modern India.","Vicky Kaushal, Bhumi Pednekar, Radhika Apte",16+ ,"Critically-acclaimed Films, Indian Films, Hindi-Language Films, Romantic Indian Films, Bollywood Films, Comedies, Romantic Comedies, Dramas, Romantic Dramas, Romantic Films, Romantic Favourites","Zoya Akhtar, Karan Johar, Dibakar Banerjee, Anurag Kashyap"
80025172,Narcos,Netflix,,Won Best TV Drama Series and Best TV Ensemble Cast at Mexico's 2017 Fénix Awards.,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.,"Wagner Moura, Pedro Pascal, Boyd Holbrook",16+ ,"Series, American Programmes, Crime Programmes, Action & Adventure Programmes, Drama Programmes",
80117470,13 Reasons Why,Netflix,,Katherine Langford received a Golden Globe nod for her role in this series based on Jay Asher's best-selling novel.,Why did Hannah Baker take her own life? Her classmates all have secrets ... and the truth is about to come out.,"Dylan Minnette, Katherine Langford, Kate Walsh",16+ ,"Series, TV Programmes based on Books, American Programmes, Teen Programmes, Crime Programmes, Drama Programmes, Mystery Programmes",
80178943,The Boss Baby: Back in Business,Netflix,,,The Boss Baby brings his big brother Tim to the office to teach him the art of business in this animated series sprung from the hit film.,"JP Karliak, Pierce Gagnon, Kevin Michael Richardson",7+ ,"Animation, Series, TV Programmes based on Books, Kids’ Programmes, Comedy Programmes, TV Cartoons",
80223989,Chilling Adventures of Sabrina,,,"Kiernan Shipka (""Mad Men"") stars in this adaptation of the horror comic series by Roberto Aguirre-Sacasa (""Riverdale"").","Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night.","Kiernan Shipka, Ross Lynch, Miranda Otto",16+ ,"Series, TV Programmes based on Comics, American Programmes, Teen Programmes, Horror Programmes, Sci-Fi & Fantasy Programmes",
80230507,Angela's Christmas,,,"McCourt is best known for his Pulitzer Prize-winning memoir ""Angela's Ashes,"" which was made into an Oscar-nominated film.",A trip to church with her family on Christmas Eve gives young Angela an extraordinary idea. A heartwarming tale based on a story by Frank McCourt.,"Lucy O'Connell, Ruth Negga, Brendan Mullins",All ,"Hollywood Films, Animation, Children & Family Films, Films based on children's books",Damien O’Connor
